f2,precision_task,recall_task,f1_task,accuracy,fp_rate_control,ari,bic,silhouette,subset,n_feat
0.4268629449628206,0.6341496598639456,0.40170224147454714,0.4761982734614314,0.4697929006286824,0.4015270935804908,0.001451994550912846,365.9590931004715,0.3132718354755093,"delta_mean,delta_variance",2
0.6998505874093254,0.8720261437908498,0.6747516353170335,0.7455284753197466,0.7311997530544186,0.16298850574131266,0.18334248806539438,340.7422490044175,0.40993432295940274,"power_ic_left,power_ic_right",2
0.6361094964933254,0.7862603012219381,0.6114801872256301,0.6800245824978866,0.6528013942367668,0.27344827585214065,0.15460049141517915,588.1762613584798,0.22831899020314733,"delta_mean,power_ic_left,power_ic_right",3
0.6616160748715083,0.8170319589824233,0.6473507573334885,0.6947719671787111,0.6795333178161861,0.2319868637021601,0.10841192488099471,578.7121048173949,0.24531503534486335,"peak_amplitude,power_ic_left,power_ic_right",3
0.6623082548825134,0.8416100502090291,0.6302955490304387,0.7179826860070022,0.6909918145038312,0.20586206895787354,0.15491502931839038,576.6267932965472,0.27781633170580006,"delta_variance,power_ic_left,power_ic_right",3
0.6472522949602746,0.794466635138904,0.6304940547140739,0.6811915895840679,0.6592679619654197,0.2798357963773482,0.08984379381807424,577.2807634117813,0.20865428902870273,"auc_difference,power_ic_left,power_ic_right",3
0.7209246256590205,0.8236705767350928,0.711551239933715,0.7428356532356533,0.7151481655853673,0.28124794744488085,0.14585090105828705,585.1294675874998,0.2512196100200197,"abs_auc_activation,power_ic_left,power_ic_right",3
0.5471118801168741,0.7660192147034252,0.5145109166497078,0.6071167599623203,0.5863246625223465,0.28695402297841105,0.1084147530627311,505.59623097670885,0.3111139759208295,"kurtosis_activation,power_ic_left,power_ic_right",3
0.6232860729090941,0.8730832873690015,0.5901057650376486,0.6855306267806267,0.6884568680925759,0.1477586206844264,0.11729874998168273,572.4142625316233,0.26802998330170535,"extrema_abs_slope,power_ic_left,power_ic_right",3
0.6819806518589723,0.8026491239257195,0.6603035148414106,0.7196270115213725,0.6784099224471547,0.28696223315842617,0.12941727433231048,556.5872174647313,0.3403138437752541,"extrema_line_length,power_ic_left,power_ic_right",3
0.6844770635310817,0.8266551275758436,0.6601004738785359,0.7273874752246375,0.6892784168874464,0.2569376026180118,0.15079554819208535,562.7351125644433,0.24946512414824493,"power_epoch,power_ic_left,power_ic_right",3
0.6380835765678285,0.8505237105237106,0.604372590632904,0.6993340380854379,0.678256779817577,0.18297208537910775,0.11261460753796367,502.21672962526355,0.3402213870888301,"ic_left_delta_mean,power_ic_left,power_ic_right",3
0.5257324330391666,0.7780185758513931,0.4899730790475914,0.5932376236124361,0.5849202774362263,0.26080459769189657,0.04615795140680777,525.1687152806363,0.3217009688792478,"ic_left_peak_amplitude,power_ic_left,power_ic_right",3
0.5545071366989175,0.7541626794258371,0.5280780300607611,0.6053293092322634,0.5868760855718098,0.29556650245223726,0.049025629699324655,478.56443489655595,0.2864567504576173,"ic_left_delta_variance,power_ic_left,power_ic_right",3
0.6559230099991388,0.8425185608441421,0.6240546559292961,0.7124971566250635,0.6843856080336925,0.22919540229029017,0.1261850289353869,533.9754065994961,0.3021335526817125,"ic_left_auc_difference,power_ic_left,power_ic_right",3
0.538599951620183,0.7831457431457431,0.5015929296159548,0.6071914019282441,0.5937264545765123,0.2519540229793694,0.07005793912081575,517.3940336487134,0.3498400835596709,"ic_left_abs_auc_activation,power_ic_left,power_ic_right",3
0.6677746728250754,0.8224156329198345,0.6434354158792918,0.7124964285534,0.6794435147252422,0.26435139572117516,0.10911690785685309,561.5500774231202,0.2769165277681066,"ic_left_kurtosis_activation,power_ic_left,power_ic_right",3
0.630940338144111,0.7640890269151137,0.6087728580980899,0.6710295151383583,0.6317613338558867,0.3157963875084707,0.13749078309426485,524.7446274599564,0.30457244515178133,"ic_left_extrema_abs_slope,power_ic_left,power_ic_right",3
0.6586378544719107,0.8084732709151314,0.6380009884582958,0.6984476976053503,0.67693577294583,0.2360673234719624,0.09777960960991439,575.4065658586995,0.267883826909716,"ic_left_extrema_line_length,power_ic_left,power_ic_right",3
0.6785365903630339,0.8576012992962146,0.6532938337645724,0.7261216265860009,0.7066417770573736,0.19747126436081325,0.14022920708331613,483.812129784087,0.3586422387633992,"ic_right_delta_mean,power_ic_left,power_ic_right",3
