,subject,model,f2,precision_task,recall_task,f1_task,accuracy,fp_rate_control,ari,bic,silhouette
2,01,optimal,0.8896797153024911,0.819672131147541,0.9090909090909091,0.8620689655172413,0.8095238095238095,0.37931034481450654,0.18083950117700995,903.8116575197014,0.16144016345922804
5,02,optimal,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8604651162790697,0.14285714285034012,0.3994413407821229,504.4342484119661,0.22306347248074906
8,03,optimal,0.6707317073170732,0.717391304347826,0.66,0.6875,0.5945945945945946,0.5416666666440972,-0.008956177737372464,889.726270138624,0.1139286477424925
11,04,optimal,0.5601659751037344,0.9310344827586207,0.5094339622641509,0.6585365853658537,0.6585365853658537,0.06896551723900118,0.058798469227195484,847.5417268133094,0.24109115693483874
14,05,optimal,0.85,0.796875,0.864406779661017,0.8292682926829268,0.7640449438202247,0.4333333333188889,0.11949310548680973,989.5893579663564,0.138549735557342
